AA  CC  00  0B  D8  00  0A  FF  FF  0F  51  00  04  03  4F    = 06/05/2018 11:30:52
AA  CC  00  0B  D8  00  0A  FF  FF  0F  52  00  04  03  50    = 06/05/2018 11:30:54
AA  CC  00  0B  D8  00  0A  FF  FF  0F  53  00  04  03  51    = 06/05/2018 11:30:56
AA  CC  00  0B  D8  00  0A  FF  FF  0F  53  00  04  03  51    = 06/05/2018 11:30:59
AA  CC  00  0B  D8  00  0A  FF  FF  0F  54  00  04  03  52    = 06/05/2018 11:31:02
AA  CC  00  0B  D8  00  0A  FF  FF  0F  54  00  04  03  52    = 06/05/2018 11:31:03
AA  CC  00  0B  D8  00  0A  FF  FF  0F  55  00  04  03  53    = 06/05/2018 11:31:42
AA  CC  00  0B  D8  00  0A  FF  FF  0F  55  00  04  03  53    = 06/05/2018 11:31:43
AA  CC  00  0B  D8  00  0A  FF  FF  0F  56  00  04  03  54    = 06/05/2018 11:31:46
AA  CC  00  0B  D8  00  0A  FF  FF  0F  57  00  04  03  55    = 06/05/2018 11:31:47
AA  CC  00  0B  D8  00  0A  FF  FF  0F  58  00  04  03  56    = 06/05/2018 11:31:52
AA  CC  00  0B  D8  00  0A  FF  FF  0F  58  00  04  03  56    = 06/05/2018 11:31:54
AA  CC  00  0B  D8  00  0A  FF  FF  0F  59  00  02  03  55    = 06/05/2018 11:46:59
AA  CC  00  0B  D8  00  0A  FF  FF  0F  59  00  02  03  55    = 06/05/2018 11:47:00
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5A  00  02  03  56    = 06/05/2018 11:47:01
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5B  00  02  03  57    = 06/05/2018 11:47:07
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5B  00  02  03  57    = 06/05/2018 11:47:07
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5C  00  02  03  58    = 06/05/2018 11:47:08
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5D  00  04  03  5B    = 06/05/2018 11:52:37
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5D  00  04  03  5B    = 06/05/2018 11:52:40
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5E  00  04  03  5C    = 06/05/2018 11:52:42
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5E  00  04  03  5C    = 06/05/2018 11:52:42
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5F  00  04  03  5D    = 06/05/2018 11:52:47
AA  CC  00  0B  D8  00  0A  FF  FF  0F  5F  00  04  03  5D    = 06/05/2018 11:52:49
AA  CC  00  0B  D8  00  0A  FF  FF  0F  60  00  04  03  5E    = 06/05/2018 11:52:51
AA  CC  00  0B  D8  00  0A  FF  FF  0F  60  00  04  03  5E    = 06/05/2018 11:52:52
AA  CC  00  0B  D8  00  0A  FF  FF  0F  61  00  04  03  5F    = 06/05/2018 11:54:24
AA  CC  00  0B  D8  00  0A  FF  FF  0F  62  00  04  03  60    = 06/05/2018 11:54:24
