PACKET INFORMATION OF spot_6
Report Taken on : 30/Apr/18 10:12:30
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
34       DUMMY60          4A 2C 00 06 1D 0B A6 E4 74 FF 00 60 00 07 06 45 00 00 00 00 00 00 95 BD                                           2018     652506367     04/29/2018 00:03:31:984     7435      
35       DUMMY60          95 BD 00 06 1D 0C A6 E4 74 FF 00 60 00 08 06 45 00 00 00 00 00 00 8F 93                                           2018     652506367     04/29/2018 00:03:31:984     7436      
36       DUMMY60          8F 93 00 06 1D 0D A6 E4 74 FF 00 60 00 09 06 45 00 00 00 00 00 00 52 BC                                           2018     652506367     04/29/2018 00:03:31:984     7437      
37       DUMMY60          52 BC 00 06 1D 0E A6 E4 74 FF 00 60 00 0A 06 45 00 00 00 00 00 00 C3 20                                           2018     652506367     04/29/2018 00:03:31:984     7438      
38       DUMMY60          C3 20 00 06 1D 0F A6 E4 74 FF 00 60 00 0B 06 45 00 00 00 00 00 00 42 06                                           2018     652506367     04/29/2018 00:03:31:984     7439      
39       DUMMY60          42 06 00 06 1D 10 A6 E4 74 FF 00 60 00 0C 06 45 00 00 00 00 00 00 1E 92                                           2018     652506367     04/29/2018 00:03:31:984     7440      
40       DUMMY60          1E 92 00 06 1D 11 A6 E4 74 FF 00 60 00 0D 06 45 00 00 00 00 00 00 AB 37                                           2018     652506367     04/29/2018 00:03:31:984     7441      
41       DUMMY60          AB 37 00 06 1D 12 A6 E4 74 FF 00 60 00 0E 06 45 00 00 00 00 00 00 99 A8                                           2018     652506367     04/29/2018 00:03:31:984     7442      
42       DUMMY60          99 A8 00 06 1D 13 A6 E4 74 FF 00 60 00 0F 06 45 00 00 00 00 00 00 10 E5                                           2018     652506367     04/29/2018 00:03:31:984     7443      
43       DUMMY60          10 E5 00 06 1D 14 A6 E4 74 FF 00 60 00 10 06 45 00 00 00 00 00 00 46 42                                           2018     652506367     04/29/2018 00:03:31:984     7444      
44       DUMMY60          46 42 00 06 1D 15 A6 E4 74 FF 00 60 00 11 06 45 00 00 00 00 00 00 9B B9                                           2018     652506367     04/29/2018 00:03:31:984     7445      
45       DUMMY60          9B B9 00 06 1D 16 A6 E4 74 FF 00 60 00 12 06 45 00 00 00 00 00 00 CE C9                                           2018     652506367     04/29/2018 00:03:31:984     7446      
46       DUMMY60          CE C9 00 06 1D 17 A6 E4 74 FF 00 60 00 13 06 45 00 00 00 00 00 00 0F 8D                                           2018     652506367     04/29/2018 00:03:31:984     7447      
47       DUMMY60          0F 8D 00 06 1D 18 A6 E4 74 FF 00 60 00 14 06 45 00 00 00 00 00 00 35 42                                           2018     652506367     04/29/2018 00:03:31:984     7448      
48       DUMMY60          35 42 00 06 1D 19 A6 E4 74 FF 00 60 00 15 06 45 00 00 00 00 00 00 77 17                                           2018     652506367     04/29/2018 00:03:31:984     7449      
49       DUMMY60          77 17 00 06 1D 1A A6 E4 74 FF 00 60 00 16 06 45 00 00 00 00 00 00 42 69                                           2018     652506367     04/29/2018 00:03:31:984     7450      
50       DUMMY60          42 69 00 06 1D 1B A6 E4 74 FF 00 60 00 17 06 45 00 00 00 00 00 00 2F DA                                           2018     652506367     04/29/2018 00:03:31:984     7451      
51       DUMMY60          2F DA 00 06 1D 1C A6 E4 74 FF 00 60 00 18 06 45 00 00 00 00 00 00 35 4C                                           2018     652506367     04/29/2018 00:03:31:984     7452      
52       DUMMY60          35 4C 00 06 1D 1D A6 E4 74 FF 00 60 00 19 06 45 00 00 00 00 00 00 92 8F                                           2018     652506367     04/29/2018 00:03:31:984     7453      
53       TIMEPACKET       92 8F 00 06 1D 1E A6 E4 83 FF 00 05 00 00 00 00 00 00 00 00 00 00 A4 E5                                           2018     652510207     04/29/2018 00:04:31:984     7454      
54       DUMMY60          A4 E5 00 06 1D 1F A6 E4 8D BF 00 60 00 01 06 42 00 00 00 00 00 00 76 F1                                           2018     652512703     04/29/2018 00:05:10:984     7455      
55       DUMMY60          76 F1 00 06 1D 20 A6 E4 92 FF 00 60 00 02 06 46 00 00 00 00 00 00 AA CB                                           2018     652514047     04/29/2018 00:05:31:984     7456      
56       DUMMY60          AA CB 00 06 1D 21 A6 E4 92 FF 00 60 00 03 06 46 00 00 00 00 00 00 8D AC                                           2018     652514047     04/29/2018 00:05:31:984     7457      
57       DUMMY60          8D AC 00 06 1D 22 A6 E4 92 FF 00 60 00 04 06 46 00 00 00 00 00 00 69 E8                                           2018     652514047     04/29/2018 00:05:31:984     7458      
58       DUMMY60          69 E8 00 06 1D 23 A6 E4 92 FF 00 60 00 05 06 46 00 00 00 00 00 00 4C C7                                           2018     652514047     04/29/2018 00:05:31:984     7459      
59       DUMMY60          4C C7 00 06 1D 24 A6 E4 92 FF 00 60 00 06 06 46 00 00 00 00 00 00 78 54                                           2018     652514047     04/29/2018 00:05:31:984     7460      
60       DUMMY60          78 54 00 06 1D 25 A6 E4 92 FF 00 60 00 07 06 46 00 00 00 00 00 00 25 25                                           2018     652514047     04/29/2018 00:05:31:984     7461      
61       DUMMY60          25 25 00 06 1D 26 A6 E4 92 FF 00 60 00 08 06 46 00 00 00 00 00 00 3D 87                                           2018     652514047     04/29/2018 00:05:31:984     7462      
62       DUMMY60          3D 87 00 06 1D 27 A6 E4 92 FF 00 60 00 09 06 46 00 00 00 00 00 00 A5 39                                           2018     652514047     04/29/2018 00:05:31:984     7463      
63       DUMMY60          A5 39 00 06 1D 28 A6 E4 92 FF 00 60 00 0A 06 46 00 00 00 00 00 00 82 29                                           2018     652514047     04/29/2018 00:05:31:984     7464      
64       DUMMY60          82 29 00 06 1D 29 A6 E4 92 FF 00 60 00 0B 06 46 00 00 00 00 00 00 8C A1                                           2018     652514047     04/29/2018 00:05:31:984     7465      
65       DUMMY60          8C A1 00 06 1D 2A A6 E4 92 FF 00 60 00 0C 06 46 00 00 00 00 00 00 D7 E4                                           2018     652514047     04/29/2018 00:05:31:984     7466      
66       DUMMY60          D7 E4 00 06 1D 2B A6 E4 92 FF 00 60 00 0D 06 46 00 00 00 00 00 00 05 C9                                           2018     652514047     04/29/2018 00:05:31:984     7467      
67       DUMMY60          05 C9 00 06 1D 2C A6 E4 92 FF 00 60 00 0E 06 46 00 00 00 00 00 00 23 9A                                           2018     652514047     04/29/2018 00:05:31:984     7468      
68       DUMMY60          23 9A 00 06 1D 2D A6 E4 92 FF 00 60 00 0F 06 46 00 00 00 00 00 00 35 87                                           2018     652514047     04/29/2018 00:05:31:984     7469      
69       DUMMY60          35 87 00 06 1D 2E A6 E4 92 FF 00 60 00 10 06 46 00 00 00 00 00 00 FD 4A                                           2018     652514047     04/29/2018 00:05:31:984     7470      
70       DUMMY60          FD 4A 00 06 1D 2F A6 E4 92 FF 00 60 00 11 06 46 00 00 00 00 00 00 67 46                                           2018     652514047     04/29/2018 00:05:31:984     7471      
71       DUMMY60          67 46 00 06 1D 30 A6 E4 92 FF 00 60 00 12 06 46 00 00 00 00 00 00 8B B0                                           2018     652514047     04/29/2018 00:05:31:984     7472      
