SEQUENCE MISS REPORT 
Report Taken on : 30/Apr/18 09:32:12
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo     STATION NAME     FROM SEQ.NO                    TO SEQ.NO     FROM TIME                   TO TIME                     COUNT     REMARKS     
60         SPOT_8         4977                           4980          04/29/2018 01:23:00:984     04/29/2018 01:23:00:984     2         Missed      
61         SPOT_8         5311                           5313          04/29/2018 01:49:00:984     04/29/2018 01:49:00:984     1         Missed      
62         SPOT_8         5994                           5997          04/29/2018 02:41:00:984     04/29/2018 02:41:00:984     2         Missed      
63         SPOT_8         6326                           6328          04/29/2018 03:06:00:984     04/29/2018 03:07:00:984     1         Missed      
64         SPOT_8         7107                           7109          04/29/2018 04:05:00:984     04/29/2018 04:05:00:984     1         Missed      
65         SPOT_8         8128                           8130          04/29/2018 05:23:00:984     04/29/2018 05:23:00:984     1         Missed      
66         SPOT_8         8804                           8807          04/29/2018 06:15:00:984     04/29/2018 06:15:00:984     2         Missed      
67         SPOT_8         9153                           9155          04/29/2018 06:41:00:984     04/29/2018 06:41:00:984     1         Missed      
68         SPOT_8         9827                           9830          04/29/2018 07:33:00:984     04/29/2018 07:33:00:984     2         Missed      
69         SPOT_8         10691                          10693         04/29/2018 08:39:00:984     04/29/2018 08:39:00:984     1         Missed      
70         SPOT_8         12123                          12126         04/29/2018 10:29:00:984     04/29/2018 10:29:00:984     2         Missed      
71         SPOT_8         16440                          16442         04/29/2018 15:58:04:984     04/29/2018 15:59:00:984     1         Missed      
72         SPOT_8         16656                          16659         04/29/2018 16:15:00:984     04/29/2018 16:15:00:984     2         Missed      
73         SPOT_8         16763                          16765         04/29/2018 16:23:00:984     04/29/2018 16:23:00:984     1         Missed      
74         SPOT_8         16973                          16976         04/29/2018 16:39:00:984     04/29/2018 16:39:00:984     2         Missed      
75         SPOT_8         17083                          17085         04/29/2018 16:47:00:984     04/29/2018 16:47:00:984     1         Missed      
76         SPOT_8         17292                          17295         04/29/2018 17:03:00:984     04/29/2018 17:03:00:984     2         Missed      
77         SPOT_8         17402                          17404         04/29/2018 17:11:00:984     04/29/2018 17:11:00:984     1         Missed      
78         SPOT_8         17926                          17929         04/29/2018 17:51:00:984     04/29/2018 17:51:00:984     2         Missed      
