PACKET INFORMATION OF spot_5
Report Taken on : 30/Apr/18 09:59:49
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo      PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
34        DUMMY60          12 AA 00 05 04 21 A6 E4 67 BF 00 60 00 09 06 68 00 00 00 00 00 00 B4 E0                                           2018     652502975     04/29/2018 00:02:38:984     1057      
35        DUMMY60          B4 E0 00 05 04 22 A6 E4 67 BF 00 60 00 0A 06 68 00 00 00 00 00 00 6B 86                                           2018     652502975     04/29/2018 00:02:38:984     1058      
36        DUMMY60          6B 86 00 05 04 23 A6 E4 67 BF 00 60 00 0B 06 68 00 00 00 00 00 00 C7 FF                                           2018     652502975     04/29/2018 00:02:38:984     1059      
37        DUMMY60          C7 FF 00 05 04 24 A6 E4 67 BF 00 60 00 0C 06 68 00 00 00 00 00 00 AF A0                                           2018     652502975     04/29/2018 00:02:38:984     1060      
38        DUMMY60          AF A0 00 05 04 25 A6 E4 67 BF 00 60 00 0D 06 68 00 00 00 00 00 00 E6 78                                           2018     652502975     04/29/2018 00:02:38:984     1061      
39        DUMMY60          E6 78 00 05 04 26 A6 E4 67 BF 00 60 00 0E 06 68 00 00 00 00 00 00 70 1A                                           2018     652502975     04/29/2018 00:02:38:984     1062      
40        DUMMY60          70 1A 00 05 04 27 A6 E4 67 BF 00 60 00 0F 06 68 00 00 00 00 00 00 5D F9                                           2018     652502975     04/29/2018 00:02:38:984     1063      
41        DUMMY60          5D F9 00 05 04 28 A6 E4 67 BF 00 60 00 10 06 68 00 00 00 00 00 00 D3 60                                           2018     652502975     04/29/2018 00:02:38:984     1064      
42        DUMMY60          D3 60 00 05 04 29 A6 E4 67 BF 00 60 00 11 06 68 00 00 00 00 00 00 12 C7                                           2018     652502975     04/29/2018 00:02:38:984     1065      
43        DUMMY60          12 C7 00 05 04 2A A6 E4 67 BF 00 60 00 12 06 68 00 00 00 00 00 00 3E 65                                           2018     652502975     04/29/2018 00:02:38:984     1066      
44        DUMMY60          3E 65 00 05 04 2B A6 E4 67 BF 00 60 00 13 06 68 00 00 00 00 00 00 D6 71                                           2018     652502975     04/29/2018 00:02:38:984     1067      
45        DUMMY60          D6 71 00 05 04 2C A6 E4 67 BF 00 60 00 14 06 68 00 00 00 00 00 00 A7 C3                                           2018     652502975     04/29/2018 00:02:38:984     1068      
46        DUMMY60          A7 C3 00 05 04 2D A6 E4 67 BF 00 60 00 15 06 68 00 00 00 00 00 00 3D 3C                                           2018     652502975     04/29/2018 00:02:38:984     1069      
47        DUMMY60          3D 3C 00 05 04 2E A6 E4 67 BF 00 60 00 16 06 68 00 00 00 00 00 00 CB 84                                           2018     652502975     04/29/2018 00:02:38:984     1070      
48        DUMMY60          CB 84 00 05 04 2F A6 E4 67 BF 00 60 00 17 06 68 00 00 00 00 00 00 8E 7C                                           2018     652502975     04/29/2018 00:02:38:984     1071      
49        DUMMY60          8E 7C 00 05 04 30 A6 E4 67 BF 00 60 00 18 06 68 00 00 00 00 00 00 83 CE                                           2018     652502975     04/29/2018 00:02:38:984     1072      
50        DUMMY60          83 CE 00 05 04 31 A6 E4 67 BF 00 60 00 19 06 68 00 00 00 00 00 00 E2 62                                           2018     652502975     04/29/2018 00:02:38:984     1073      
51        DUMMY60          E2 62 00 05 04 32 A6 E4 68 BF 00 60 00 01 06 6D 00 00 00 00 00 00 0A 3A                                           2018     652503231     04/29/2018 00:02:42:984     1074      
