PACKET INFORMATION OF spot_10
Report Taken on : 30/Apr/18 10:14:26
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo      PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
33        DUMMY60          2A 8F 00 0A 1F E8 A6 E4 5E 3F 00 60 00 08 06 B7 00 00 00 00 00 00 6A 55                                           2018     652500543     04/29/2018 00:02:00:984     8168      
34        DUMMY60          6A 55 00 0A 1F E9 A6 E4 5E 3F 00 60 00 09 06 B7 00 00 00 00 00 00 93 22                                           2018     652500543     04/29/2018 00:02:00:984     8169      
35        DUMMY60          93 22 00 0A 1F EA A6 E4 5E 3F 00 60 00 0A 06 B7 00 00 00 00 00 00 95 9F                                           2018     652500543     04/29/2018 00:02:00:984     8170      
36        DUMMY60          95 9F 00 0A 1F EB A6 E4 5E 3F 00 60 00 0B 06 B7 00 00 00 00 00 00 DA 0E                                           2018     652500543     04/29/2018 00:02:00:984     8171      
37        DUMMY60          DA 0E 00 0A 1F EC A6 E4 5E 3F 00 60 00 0C 06 B7 00 00 00 00 00 00 EE 0C                                           2018     652500543     04/29/2018 00:02:00:984     8172      
38        DUMMY60          EE 0C 00 0A 1F ED A6 E4 5E 3F 00 60 00 0D 06 B7 00 00 00 00 00 00 DE AA                                           2018     652500543     04/29/2018 00:02:00:984     8173      
39        DUMMY60          DE AA 00 0A 1F EE A6 E4 5E 3F 00 60 00 0E 06 B7 00 00 00 00 00 00 F2 02                                           2018     652500543     04/29/2018 00:02:00:984     8174      
40        DUMMY60          F2 02 00 0A 1F EF A6 E4 5E 3F 00 60 00 0F 06 B7 00 00 00 00 00 00 6E AD                                           2018     652500543     04/29/2018 00:02:00:984     8175      
41        DUMMY60          6E AD 00 0A 1F F0 A6 E4 5E 3F 00 60 00 10 06 B7 00 00 00 00 00 00 4D 28                                           2018     652500543     04/29/2018 00:02:00:984     8176      
42        DUMMY60          4D 28 00 0A 1F F1 A6 E4 5E 3F 00 60 00 11 06 B7 00 00 00 00 00 00 EE 8D                                           2018     652500543     04/29/2018 00:02:00:984     8177      
43        DUMMY60          EE 8D 00 0A 1F F2 A6 E4 5E 3F 00 60 00 12 06 B7 00 00 00 00 00 00 1D A5                                           2018     652500543     04/29/2018 00:02:00:984     8178      
44        DUMMY60          1D A5 00 0A 1F F3 A6 E4 5E 3F 00 60 00 13 06 B7 00 00 00 00 00 00 2A E5                                           2018     652500543     04/29/2018 00:02:00:984     8179      
45        DUMMY60          2A E5 00 0A 1F F4 A6 E4 5E 3F 00 60 00 14 06 B7 00 00 00 00 00 00 34 54                                           2018     652500543     04/29/2018 00:02:00:984     8180      
46        DUMMY60          34 54 00 0A 1F F5 A6 E4 5E 3F 00 60 00 15 06 B7 00 00 00 00 00 00 30 ED                                           2018     652500543     04/29/2018 00:02:00:984     8181      
47        DUMMY60          30 ED 00 0A 1F F6 A6 E4 5E 3F 00 60 00 16 06 B7 00 00 00 00 00 00 24 D4                                           2018     652500543     04/29/2018 00:02:00:984     8182      
48        DUMMY60          24 D4 00 0A 1F F7 A6 E4 5E 3F 00 60 00 17 06 B7 00 00 00 00 00 00 5C E4                                           2018     652500543     04/29/2018 00:02:00:984     8183      
49        DUMMY60          5C E4 00 0A 1F F8 A6 E4 5E 3F 00 60 00 18 06 B7 00 00 00 00 00 00 EE 6A                                           2018     652500543     04/29/2018 00:02:00:984     8184      
