DUPLICATION REPORT
Report Taken on : 09/Jun/18 16:06:08
From  : 09/Jun/18  00:20:10
To  : 09/Jun/18  16:00:11 
SlNo     AT STATION      TIME                    DUPLICATION %          
123           Spot10     06/09/2018 03:00:10     00.000                 
124           Spot10     06/09/2018 03:20:10     00.000                 
125           Spot10     06/09/2018 03:40:11     00.000                 
126           Spot10     06/09/2018 04:00:10     00.000                 
127           Spot10     06/09/2018 04:20:10     00.000                 
128           Spot10     06/09/2018 04:40:10     00.000                 
129           Spot10     06/09/2018 05:00:10     00.000                 
130           Spot10     06/09/2018 05:20:10     00.000                 
131           Spot10     06/09/2018 05:40:11     00.000                 
132           Spot10     06/09/2018 06:00:10     00.000                 
133           Spot10     06/09/2018 06:20:10     00.000                 
134           Spot10     06/09/2018 06:40:10     00.000                 
135           Spot10     06/09/2018 07:00:10     00.000                 
136           Spot10     06/09/2018 07:20:10     00.000                 
137           Spot10     06/09/2018 07:40:10     00.000                 
138           Spot10     06/09/2018 08:00:10     00.000                 
139           Spot10     06/09/2018 08:20:10     00.000                 
140           Spot10     06/09/2018 08:40:10     00.000                 
141           Spot10     06/09/2018 09:00:10     00.000                 
142           Spot10     06/09/2018 09:20:10     00.000                 
143           Spot10     06/09/2018 09:40:10     02.423                 
144           Spot10     06/09/2018 10:00:10     13.359                 
145           Spot10     06/09/2018 10:20:10     15.385                 
146           Spot10     06/09/2018 10:40:10     13.793                 
147           Spot10     06/09/2018 11:00:10     16.732                 
148           Spot10     06/09/2018 11:20:10     16.092                 
149           Spot10     06/09/2018 11:40:10     15.000                 
150           Spot10     06/09/2018 15:00:11     16.190                 
151           Spot10     06/09/2018 15:20:10     00.000                 
152           Spot10     06/09/2018 15:40:10     00.000                 
