PACKET INFORMATION OF SPOT_8
Report Taken on : 03/May/18 09:49:10
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
34       DUMMY60          50 A1 00 08 C1 22 A8 35 F4 3F 00 60 00 08 0D 76 00 00 00 00 00 00 EE EF                                           2018     674624575     05/03/2018 00:03:28:984     49442     
35       DUMMY60          EE EF 00 08 C1 23 A8 35 F4 3F 00 60 00 09 0D 76 00 00 00 00 00 00 52 74                                           2018     674624575     05/03/2018 00:03:28:984     49443     
36       DUMMY60          52 74 00 08 C1 24 A8 35 F4 3F 00 60 00 0A 0D 76 00 00 00 00 00 00 80 6E                                           2018     674624575     05/03/2018 00:03:28:984     49444     
37       DUMMY60          80 6E 00 08 C1 25 A8 35 F4 3F 00 60 00 0B 0D 76 00 00 00 00 00 00 88 E0                                           2018     674624575     05/03/2018 00:03:28:984     49445     
38       DUMMY60          88 E0 00 08 C1 26 A8 35 F4 3F 00 60 00 0C 0D 76 00 00 00 00 00 00 73 22                                           2018     674624575     05/03/2018 00:03:28:984     49446     
39       DUMMY60          73 22 00 08 C1 27 A8 35 F4 3F 00 60 00 0D 0D 76 00 00 00 00 00 00 4E 5B                                           2018     674624575     05/03/2018 00:03:28:984     49447     
40       DUMMY60          4E 5B 00 08 C1 28 A8 35 F4 3F 00 60 00 0E 0D 76 00 00 00 00 00 00 57 F0                                           2018     674624575     05/03/2018 00:03:28:984     49448     
41       DUMMY60          57 F0 00 08 C1 29 A8 35 F4 3F 00 60 00 0F 0D 76 00 00 00 00 00 00 B8 16                                           2018     674624575     05/03/2018 00:03:28:984     49449     
42       DUMMY60          B8 16 00 08 C1 2A A8 35 F4 3F 00 60 00 10 0D 76 00 00 00 00 00 00 F4 25                                           2018     674624575     05/03/2018 00:03:28:984     49450     
43       DUMMY60          F4 25 00 08 C1 2B A8 35 F4 3F 00 60 00 11 0D 76 00 00 00 00 00 00 CE 11                                           2018     674624575     05/03/2018 00:03:28:984     49451     
44       DUMMY60          CE 11 00 08 C1 2C A8 35 F4 3F 00 60 00 12 0D 76 00 00 00 00 00 00 27 CE                                           2018     674624575     05/03/2018 00:03:28:984     49452     
