PACKET INFORMATION OF Spot_1
Report Taken on : 03/May/18 09:42:28
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
34       DUMMY60          99 18 00 01 41 E6 A8 35 F6 7F 00 60 00 08 0D 6A 00 00 00 00 00 00 B6 F9                                           2018     674625151     05/03/2018 00:03:37:984     16870     
35       DUMMY60          B6 F9 00 01 41 E7 A8 35 F6 7F 00 60 00 09 0D 6A 00 00 00 00 00 00 9D C8                                           2018     674625151     05/03/2018 00:03:37:984     16871     
36       DUMMY60          9D C8 00 01 41 E8 A8 35 F6 7F 00 60 00 0A 0D 6A 00 00 00 00 00 00 91 D4                                           2018     674625151     05/03/2018 00:03:37:984     16872     
37       DUMMY60          91 D4 00 01 41 E9 A8 35 F6 7F 00 60 00 0B 0D 6A 00 00 00 00 00 00 B5 F7                                           2018     674625151     05/03/2018 00:03:37:984     16873     
38       DUMMY60          B5 F7 00 01 41 EA A8 35 F6 7F 00 60 00 0C 0D 6A 00 00 00 00 00 00 9B 16                                           2018     674625151     05/03/2018 00:03:37:984     16874     
39       DUMMY60          9B 16 00 01 41 EB A8 35 F6 7F 00 60 00 0D 0D 6A 00 00 00 00 00 00 DD FF                                           2018     674625151     05/03/2018 00:03:37:984     16875     
40       DUMMY60          DD FF 00 01 41 EC A8 35 F6 7F 00 60 00 0E 0D 6A 00 00 00 00 00 00 11 1F                                           2018     674625151     05/03/2018 00:03:37:984     16876     
41       DUMMY60          11 1F 00 01 41 ED A8 35 F6 7F 00 60 00 0F 0D 6A 00 00 00 00 00 00 5C D2                                           2018     674625151     05/03/2018 00:03:37:984     16877     
42       DUMMY60          5C D2 00 01 41 EE A8 35 F6 7F 00 60 00 10 0D 6A 00 00 00 00 00 00 B7 9F                                           2018     674625151     05/03/2018 00:03:37:984     16878     
43       DUMMY60          B7 9F 00 01 41 EF A8 35 F6 7F 00 60 00 11 0D 6A 00 00 00 00 00 00 C7 BA                                           2018     674625151     05/03/2018 00:03:37:984     16879     
44       DUMMY60          C7 BA 00 01 41 F0 A8 35 F6 7F 00 60 00 12 0D 6A 00 00 00 00 00 00 BC 06                                           2018     674625151     05/03/2018 00:03:37:984     16880     
45       DUMMY60          BC 06 00 01 41 F1 A8 35 F6 7F 00 60 00 13 0D 6A 00 00 00 00 00 00 B0 EA                                           2018     674625151     05/03/2018 00:03:37:984     16881     
46       DUMMY60          B0 EA 00 01 41 F2 A8 35 F6 7F 00 60 00 14 0D 6A 00 00 00 00 00 00 41 69                                           2018     674625151     05/03/2018 00:03:37:984     16882     
47       DUMMY60          41 69 00 01 41 F3 A8 35 F6 7F 00 60 00 15 0D 6A 00 00 00 00 00 00 37 83                                           2018     674625151     05/03/2018 00:03:37:984     16883     
48       DUMMY60          37 83 00 01 41 F4 A8 35 F6 7F 00 60 00 16 0D 6A 00 00 00 00 00 00 42 B3                                           2018     674625151     05/03/2018 00:03:37:984     16884     
49       DUMMY60          42 B3 00 01 41 F5 A8 35 F6 7F 00 60 00 17 0D 6A 00 00 00 00 00 00 F2 2C                                           2018     674625151     05/03/2018 00:03:37:984     16885     
50       DUMMY60          F2 2C 00 01 41 F6 A8 35 F6 7F 00 60 00 18 0D 6A 00 00 00 00 00 00 48 F7                                           2018     674625151     05/03/2018 00:03:37:984     16886     
51       DUMMY60          48 F7 00 01 41 F7 A8 35 F6 7F 00 60 00 19 0D 6A 00 00 00 00 00 00 59 41                                           2018     674625151     05/03/2018 00:03:37:984     16887     
52       DUMMY60          59 41 00 01 41 F8 A8 35 FB BF 00 60 00 07 0D 68 00 16 00 00 00 00 1E E7                                           2018     674626495     05/03/2018 00:03:58:984     16888     
53       HOURPACKET       1E E7 00 01 41 F9 A8 35 FF FF 00 06 00 00 00 00 00 00 00 00 00 00 9B DE                                           2018     674627583     05/03/2018 00:04:15:984     16889     
54       DUMMY60          9B DE 00 01 41 FA A8 36 0D BF 00 60 00 01 0D 6A 00 00 00 00 00 00 C9 84                                           2018     674631103     05/03/2018 00:05:10:984     16890     
55       DUMMY60          C9 84 00 01 41 FB A8 36 10 BF 00 60 00 06 0D 6A AA 15 A6 00 75 41 B3 B8                                           2018     674631871     05/03/2018 00:05:22:984     16891     
56       DUMMY60          B3 B8 00 01 41 FC A8 36 14 7F 00 60 00 02 0D 6B 00 00 00 00 00 00 79 D5                                           2018     674632831     05/03/2018 00:05:37:984     16892     
57       DUMMY60          79 D5 00 01 41 FD A8 36 14 7F 00 60 00 03 0D 6B 00 00 00 00 00 00 03 3E                                           2018     674632831     05/03/2018 00:05:37:984     16893     
58       DUMMY60          03 3E 00 01 41 FE A8 36 14 7F 00 60 00 04 0D 6B 00 00 00 00 00 00 85 7D                                           2018     674632831     05/03/2018 00:05:37:984     16894     
59       DUMMY60          85 7D 00 01 41 FF A8 36 14 7F 00 60 00 05 0D 6B 00 00 00 00 00 00 CD 95                                           2018     674632831     05/03/2018 00:05:37:984     16895     
60       DUMMY60          CD 95 00 01 42 00 A8 36 14 7F 00 60 00 08 0D 6B 00 00 00 00 00 00 A8 CB                                           2018     674632831     05/03/2018 00:05:37:984     16896     
61       DUMMY60          A8 CB 00 01 42 01 A8 36 14 7F 00 60 00 09 0D 6B 00 00 00 00 00 00 A0 DF                                           2018     674632831     05/03/2018 00:05:37:984     16897     
62       DUMMY60          A0 DF 00 01 42 02 A8 36 14 7F 00 60 00 0A 0D 6B 00 00 00 00 00 00 0B 68                                           2018     674632831     05/03/2018 00:05:37:984     16898     
63       DUMMY60          0B 68 00 01 42 03 A8 36 14 7F 00 60 00 0B 0D 6B 00 00 00 00 00 00 74 40                                           2018     674632831     05/03/2018 00:05:37:984     16899     
64       DUMMY60          74 40 00 01 42 04 A8 36 14 7F 00 60 00 0C 0D 6B 00 00 00 00 00 00 38 B3                                           2018     674632831     05/03/2018 00:05:37:984     16900     
