PACKET INFORMATION OF spot_10
Report Taken on : 03/May/18 09:50:46
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
34       DUMMY60          0C F5 00 0A 22 5C A8 35 EA BF 00 60 00 09 06 A7 00 00 00 00 00 00 20 A0                                           2018     674622143     05/03/2018 00:02:50:984     8796      
35       DUMMY60          20 A0 00 0A 22 5D A8 35 EA BF 00 60 00 0A 06 A7 00 00 00 00 00 00 A9 BF                                           2018     674622143     05/03/2018 00:02:50:984     8797      
36       DUMMY60          A9 BF 00 0A 22 5E A8 35 EA BF 00 60 00 0B 06 A7 00 00 00 00 00 00 B2 6F                                           2018     674622143     05/03/2018 00:02:50:984     8798      
37       DUMMY60          B2 6F 00 0A 22 5F A8 35 EA BF 00 60 00 0C 06 A7 00 00 00 00 00 00 E5 FC                                           2018     674622143     05/03/2018 00:02:50:984     8799      
38       DUMMY60          E5 FC 00 0A 22 60 A8 35 EA BF 00 60 00 0D 06 A7 00 00 00 00 00 00 76 4D                                           2018     674622143     05/03/2018 00:02:50:984     8800      
39       DUMMY60          76 4D 00 0A 22 61 A8 35 EA BF 00 60 00 0E 06 A7 00 00 00 00 00 00 9A 3C                                           2018     674622143     05/03/2018 00:02:50:984     8801      
40       DUMMY60          9A 3C 00 0A 22 62 A8 35 EA BF 00 60 00 0F 06 A7 00 00 00 00 00 00 F1 4F                                           2018     674622143     05/03/2018 00:02:50:984     8802      
41       DUMMY60          F1 4F 00 0A 22 63 A8 35 EA BF 00 60 00 10 06 A7 00 00 00 00 00 00 8B 00                                           2018     674622143     05/03/2018 00:02:50:984     8803      
42       DUMMY60          8B 00 00 0A 22 64 A8 35 EA BF 00 60 00 11 06 A7 00 00 00 00 00 00 48 AF                                           2018     674622143     05/03/2018 00:02:50:984     8804      
43       DUMMY60          48 AF 00 0A 22 65 A8 35 EA BF 00 60 00 12 06 A7 00 00 00 00 00 00 51 0F                                           2018     674622143     05/03/2018 00:02:50:984     8805      
44       DUMMY60          51 0F 00 0A 22 66 A8 35 EA BF 00 60 00 13 06 A7 00 00 00 00 00 00 3E 60                                           2018     674622143     05/03/2018 00:02:50:984     8806      
45       DUMMY60          3E 60 00 0A 22 67 A8 35 EA BF 00 60 00 14 06 A7 00 00 00 00 00 00 BF 6F                                           2018     674622143     05/03/2018 00:02:50:984     8807      
46       DUMMY60          BF 6F 00 0A 22 68 A8 35 EA BF 00 60 00 15 06 A7 00 00 00 00 00 00 B0 49                                           2018     674622143     05/03/2018 00:02:50:984     8808      
47       DUMMY60          B0 49 00 0A 22 69 A8 35 EA BF 00 60 00 16 06 A7 00 00 00 00 00 00 13 A8                                           2018     674622143     05/03/2018 00:02:50:984     8809      
48       DUMMY60          13 A8 00 0A 22 6A A8 35 EA BF 00 60 00 17 06 A7 00 00 00 00 00 00 5A 2A                                           2018     674622143     05/03/2018 00:02:50:984     8810      
49       DUMMY60          5A 2A 00 0A 22 6B A8 35 EA BF 00 60 00 18 06 A7 00 00 00 00 00 00 B9 9C                                           2018     674622143     05/03/2018 00:02:50:984     8811      
50       DUMMY60          B9 9C 00 0A 22 6C A8 35 EA BF 00 60 00 19 06 A7 00 00 00 00 00 00 FA F7                                           2018     674622143     05/03/2018 00:02:50:984     8812      
51       DUMMY60          FA F7 00 0A 22 6D A8 35 EB BF 00 60 00 01 06 A6 00 00 00 00 00 00 87 A6                                           2018     674622399     05/03/2018 00:02:54:984     8813      
52       TIMEPACKET       87 A6 00 0A 22 6E A8 35 FA BF 00 05 00 00 00 00 00 00 00 00 00 00 B5 B3                                           2018     674626239     05/03/2018 00:03:54:984     8814      
53       HOURPACKET       B5 B3 00 0A 22 6F A8 35 FF FF 00 06 00 00 00 00 00 00 00 00 00 00 31 64                                           2018     674627583     05/03/2018 00:04:15:984     8815      
54       DUMMY60          31 64 00 0A 22 70 A8 36 08 BF 00 60 00 02 06 A6 00 00 00 00 00 00 BE 0F                                           2018     674629823     05/03/2018 00:04:50:984     8816      
55       DUMMY60          BE 0F 00 0A 22 71 A8 36 08 BF 00 60 00 03 06 A6 00 00 00 00 00 00 07 51                                           2018     674629823     05/03/2018 00:04:50:984     8817      
56       DUMMY60          07 51 00 0A 22 72 A8 36 08 BF 00 60 00 04 06 A6 00 00 00 00 00 00 5F 62                                           2018     674629823     05/03/2018 00:04:50:984     8818      
57       DUMMY60          5F 62 00 0A 22 73 A8 36 08 BF 00 60 00 05 06 A6 00 00 00 00 00 00 7F 51                                           2018     674629823     05/03/2018 00:04:50:984     8819      
58       DUMMY60          7F 51 00 0A 22 74 A8 36 08 BF 00 60 00 06 06 A6 00 00 00 00 00 00 A7 5B                                           2018     674629823     05/03/2018 00:04:50:984     8820      
59       DUMMY60          A7 5B 00 0A 22 75 A8 36 08 BF 00 60 00 07 06 A6 00 00 00 00 00 00 A4 0B                                           2018     674629823     05/03/2018 00:04:50:984     8821      
60       DUMMY60          A4 0B 00 0A 22 76 A8 36 08 BF 00 60 00 08 06 A6 00 00 00 00 00 00 2E AA                                           2018     674629823     05/03/2018 00:04:50:984     8822      
61       DUMMY60          2E AA 00 0A 22 77 A8 36 08 BF 00 60 00 09 06 A6 00 00 00 00 00 00 04 4C                                           2018     674629823     05/03/2018 00:04:50:984     8823      
62       DUMMY60          04 4C 00 0A 22 78 A8 36 08 BF 00 60 00 0A 06 A6 00 00 00 00 00 00 CF 5F                                           2018     674629823     05/03/2018 00:04:50:984     8824      
63       DUMMY60          CF 5F 00 0A 22 79 A8 36 08 BF 00 60 00 0B 06 A6 00 00 00 00 00 00 53 6C                                           2018     674629823     05/03/2018 00:04:50:984     8825      
64       DUMMY60          53 6C 00 0A 22 7A A8 36 08 BF 00 60 00 0C 06 A6 00 00 00 00 00 00 C0 9D                                           2018     674629823     05/03/2018 00:04:50:984     8826      
65       DUMMY60          C0 9D 00 0A 22 7B A8 36 08 BF 00 60 00 0D 06 A6 00 00 00 00 00 00 F1 FD                                           2018     674629823     05/03/2018 00:04:50:984     8827      
66       DUMMY60          F1 FD 00 0A 22 7C A8 36 08 BF 00 60 00 0E 06 A6 00 00 00 00 00 00 02 E9                                           2018     674629823     05/03/2018 00:04:50:984     8828      
67       DUMMY60          02 E9 00 0A 22 7D A8 36 08 BF 00 60 00 0F 06 A6 00 00 00 00 00 00 1E 12                                           2018     674629823     05/03/2018 00:04:50:984     8829      
68       DUMMY60          1E 12 00 0A 22 7E A8 36 08 BF 00 60 00 10 06 A6 00 00 00 00 00 00 AF 9B                                           2018     674629823     05/03/2018 00:04:50:984     8830      
69       DUMMY60          AF 9B 00 0A 22 7F A8 36 08 BF 00 60 00 11 06 A6 00 00 00 00 00 00 78 90                                           2018     674629823     05/03/2018 00:04:50:984     8831      
70       DUMMY60          78 90 00 0A 22 80 A8 36 08 BF 00 60 00 12 06 A6 00 00 00 00 00 00 68 88                                           2018     674629823     05/03/2018 00:04:50:984     8832      
71       DUMMY60          68 88 00 0A 22 81 A8 36 08 BF 00 60 00 13 06 A6 00 00 00 00 00 00 6F B4                                           2018     674629823     05/03/2018 00:04:50:984     8833      
