PACKET INFORMATION OF SPOT_8
Report Taken on : 30/Apr/18 09:37:21
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo      PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
33        DUMMY60          0F 4D 00 08 0F 55 A6 E4 6D 3F 00 60 00 07 0E 0B 00 00 00 00 00 00 F4 AD                                           2018     652504383     04/29/2018 00:03:00:984     3925      
34        DUMMY60          F4 AD 00 08 0F 56 A6 E4 6D 3F 00 60 00 08 0E 0B 00 00 00 00 00 00 2D 11                                           2018     652504383     04/29/2018 00:03:00:984     3926      
35        DUMMY60          2D 11 00 08 0F 57 A6 E4 6D 3F 00 60 00 09 0E 0B 00 00 00 00 00 00 2A 75                                           2018     652504383     04/29/2018 00:03:00:984     3927      
36        DUMMY60          2A 75 00 08 0F 58 A6 E4 6D 3F 00 60 00 0A 0E 0B 00 00 00 00 00 00 92 D0                                           2018     652504383     04/29/2018 00:03:00:984     3928      
37        DUMMY60          92 D0 00 08 0F 59 A6 E4 6D 3F 00 60 00 0B 0E 0B 00 00 00 00 00 00 D3 D6                                           2018     652504383     04/29/2018 00:03:00:984     3929      
38        DUMMY60          D3 D6 00 08 0F 5A A6 E4 6D 3F 00 60 00 0C 0E 0B 00 00 00 00 00 00 37 AF                                           2018     652504383     04/29/2018 00:03:00:984     3930      
39        DUMMY60          37 AF 00 08 0F 5B A6 E4 6D 3F 00 60 00 0D 0E 0B 00 00 00 00 00 00 EC CD                                           2018     652504383     04/29/2018 00:03:00:984     3931      
40        DUMMY60          EC CD 00 08 0F 5C A6 E4 6D 3F 00 60 00 0E 0E 0B 00 00 00 00 00 00 24 65                                           2018     652504383     04/29/2018 00:03:00:984     3932      
41        DUMMY60          24 65 00 08 0F 5D A6 E4 6D 3F 00 60 00 0F 0E 0B 00 00 00 00 00 00 1A E9                                           2018     652504383     04/29/2018 00:03:00:984     3933      
42        DUMMY60          1A E9 00 08 0F 5E A6 E4 6D 3F 00 60 00 10 0E 0B 00 00 00 00 00 00 8B FD                                           2018     652504383     04/29/2018 00:03:00:984     3934      
43        DUMMY60          8B FD 00 08 0F 5F A6 E4 6D 3F 00 60 00 11 0E 0B 00 00 00 00 00 00 F3 41                                           2018     652504383     04/29/2018 00:03:00:984     3935      
44        DUMMY60          F3 41 00 08 0F 60 A6 E4 6D 3F 00 60 00 12 0E 0B 00 00 00 00 00 00 48 FD                                           2018     652504383     04/29/2018 00:03:00:984     3936      
45        DUMMY60          48 FD 00 08 0F 61 A6 E4 6D 3F 00 60 00 13 0E 0B 00 00 00 00 00 00 2B DE                                           2018     652504383     04/29/2018 00:03:00:984     3937      
46        DUMMY60          2B DE 00 08 0F 62 A6 E4 6D 3F 00 60 00 14 0E 0B 00 00 00 00 00 00 C1 4C                                           2018     652504383     04/29/2018 00:03:00:984     3938      
47        DUMMY60          C1 4C 00 08 0F 63 A6 E4 6D 3F 00 60 00 15 0E 0B 00 00 00 00 00 00 B9 10                                           2018     652504383     04/29/2018 00:03:00:984     3939      
48        DUMMY60          B9 10 00 08 0F 64 A6 E4 6D 3F 00 60 00 16 0E 0B 00 00 00 00 00 00 87 9E                                           2018     652504383     04/29/2018 00:03:00:984     3940      
49        DUMMY60          87 9E 00 08 0F 65 A6 E4 6D 3F 00 60 00 17 0E 0B 00 00 00 00 00 00 AC 0A                                           2018     652504383     04/29/2018 00:03:00:984     3941      
50        DUMMY60          AC 0A 00 08 0F 66 A6 E4 6D 3F 00 60 00 18 0E 0B 00 00 00 00 00 00 58 84                                           2018     652504383     04/29/2018 00:03:00:984     3942      
51        DUMMY60          58 84 00 08 0F 67 A6 E4 6D 3F 00 60 00 19 0E 0B 00 00 00 00 00 00 99 CC                                           2018     652504383     04/29/2018 00:03:00:984     3943      
52        TIMEWRITELOW     99 CC 00 08 0F 68 A6 E4 6D 3F 00 03 01 FF 00 41 00 00 00 00 00 00 EE D9                                           2018     652504383     04/29/2018 00:03:00:984     3944      
53        DUMMY60          EE D9 00 08 0F 69 A6 E4 6D BF 00 60 00 01 0E 0A 00 00 00 00 00 00 F2 5F                                           2018     652504511     04/29/2018 00:03:02:984     3945      
54        TIMEWRITELOW     F2 5F 00 08 0F 6A A6 E4 7C 7F 00 03 01 00 00 3F 00 00 00 00 00 00 93 A9                                           2018     652508287     04/29/2018 00:04:01:984     3946      
55        DUMMY60          93 A9 00 08 0F 6B A6 E4 8B 3F 00 60 00 02 0E 0A 00 00 00 00 00 00 AF 9D                                           2018     652512063     04/29/2018 00:05:00:984     3947      
56        DUMMY60          AF 9D 00 08 0F 6C A6 E4 8B 3F 00 60 00 03 0E 0A 00 00 00 00 00 00 FC D4                                           2018     652512063     04/29/2018 00:05:00:984     3948      
57        DUMMY60          FC D4 00 08 0F 6D A6 E4 8B 3F 00 60 00 04 0E 0A 00 00 00 00 00 00 82 1F                                           2018     652512063     04/29/2018 00:05:00:984     3949      
58        DUMMY60          82 1F 00 08 0F 6E A6 E4 8B 3F 00 60 00 05 0E 0A 00 00 00 00 00 00 F4 2E                                           2018     652512063     04/29/2018 00:05:00:984     3950      
59        DUMMY60          F4 2E 00 08 0F 6F A6 E4 8B 3F 00 60 00 06 0E 0A 00 00 00 00 00 00 E1 48                                           2018     652512063     04/29/2018 00:05:00:984     3951      
60        DUMMY60          E1 48 00 08 0F 70 A6 E4 8B 3F 00 60 00 07 0E 0A 00 00 00 00 00 00 5C B0                                           2018     652512063     04/29/2018 00:05:00:984     3952      
